,ID_NOTICE_CN,TED_NOTICE_URL,CAE_NAME,CAE_TOWN,CAE_POSTAL_CODE,CAE_TYPE,MAIN_ACTIVITY,TYPE_OF_CONTRACT,CPV,VALUE_EURO_FIN_1,DURATION,TAL_LOCATION_NUTS
5577,20185133,ted.europa.eu/udl?uri=TED:NOTICE:5133-2018:TEXT:EN:HTML,Subdirección General de Análisis Presupuestario y Gestión Financiera del Instituto de Mayores y Servicios Sociales,Madrid,28029,1,Social protection,S,90911200.0,427833.79,,ES300
5691,20185178,ted.europa.eu/udl?uri=TED:NOTICE:5178-2018:TEXT:EN:HTML,"Axencia para a Modernización Tecnolóxica de Galicia, Xunta de Galicia",Santiago de Compostela,15781,3,General public\services,S,72200000.0,926100.0,,ES11
5717,20185753,ted.europa.eu/udl?uri=TED:NOTICE:5753-2018:TEXT:EN:HTML,Dirección General de Racionalización y Centralización de la Contratación,Madrid,28014,1,General public\services,S,79710000.0,30815211.67,,ES300
5737,20185787,ted.europa.eu/udl?uri=TED:NOTICE:5787-2018:TEXT:EN:HTML,ADIF - Alta Velocidad,Madrid,28036,4,Railway services,U,34940000.0,459600.0,,ES300
5813,20185837,ted.europa.eu/udl?uri=TED:NOTICE:5837-2018:TEXT:EN:HTML,Administrador de Infraestructuras Ferroviarias,Madrid,28036,4,Railway services,S,71240000.0,2359115.79,,ES300
5843,20185938,ted.europa.eu/udl?uri=TED:NOTICE:5938-2018:TEXT:EN:HTML,"Serveis Comarcals Mediambientals, S.A.",Reus,43202,3,Environment,U,34928480.0,2065363.2,96.0,ES514
5850,20185945,ted.europa.eu/udl?uri=TED:NOTICE:5945-2018:TEXT:EN:HTML,Ajuntament de Sant Boi de Llobregat,Sant Boi de Llobregat,08830,3,General public\services,U,34928530.0,,,
5851,20185946,ted.europa.eu/udl?uri=TED:NOTICE:5946-2018:TEXT:EN:HTML,Servicio Madrileño de Salud — Hospital Universitario «12 de Octubre»,Madrid,28041,6,Health,U,33770000.0,282240.0,12.0,ES30
5853,20185948,ted.europa.eu/udl?uri=TED:NOTICE:5948-2018:TEXT:EN:HTML,Ente Publico Hospital Universitario de Fuenlabrada,Fuenlabrada (Madrid),28942,6,Health,U,33185200.0,324720.0,12.0,ES30
5858,20185953,ted.europa.eu/udl?uri=TED:NOTICE:5953-2018:TEXT:EN:HTML,Consejería de Medio Ambiente y Ordenación del Territorio de la Junta de Andalucía,Sevilla,41071,3,General public\services,U,34113200.0,425000.0,3.95,ES61
5874,20186036,ted.europa.eu/udl?uri=TED:NOTICE:6036-2018:TEXT:EN:HTML,Ayuntamiento de Algete,Algete,28110,3,General public\services,S,79940000.0,482421.64,24.0,ES30
5876,20186038,ted.europa.eu/udl?uri=TED:NOTICE:6038-2018:TEXT:EN:HTML,Consejería de Educación e Investigación. Secretaría General Técnica,Madrid,28014,3,General public\services,S,90911200.0,7841402.8,24.0,ES30
5877,20186039,ted.europa.eu/udl?uri=TED:NOTICE:6039-2018:TEXT:EN:HTML,Ayuntamiento de Arganda del Rey,Arganda del Rey,28500,3,General public\services,S,85210000.0,837706.88,48.0,ES30
5880,20186041,ted.europa.eu/udl?uri=TED:NOTICE:6041-2018:TEXT:EN:HTML,Patronato Municipal de Deportes de Castellón de la Plana,Castellón,12003,8,Other,S,90911200.0,2627412.31,36.0,ES522
5882,20186043,ted.europa.eu/udl?uri=TED:NOTICE:6043-2018:TEXT:EN:HTML,Servicio Canario de Empleo,Santa Cruz de Tenerife y Las Palmas de Gran Canaria,38010 y 35014,3,General public\services,S,79714000.0,5993187.56,24.0,
5884,20186045,ted.europa.eu/udl?uri=TED:NOTICE:6045-2018:TEXT:EN:HTML,Corporació de Salut del Maresme i la Selva,Calella,08370,6,Health,S,72267000.0,513000.0,,
5886,20186047,ted.europa.eu/udl?uri=TED:NOTICE:6047-2018:TEXT:EN:HTML,"Barcelona de Serveis Municipals, S.A.",Barcelona,08015,8,"General public\services,Other",S,72330000.0,474000.0,36.0,ES511
5902,20186147,ted.europa.eu/udl?uri=TED:NOTICE:6147-2018:TEXT:EN:HTML,Empresa Metropolitana de Abastecimiento y Saneamiento de Aguas de Sevilla S.A. (EMASESA),Sevilla,41003,4,Water,S,77120000.0,5197500.0,24.0,ES618
5903,20186148,ted.europa.eu/udl?uri=TED:NOTICE:6148-2018:TEXT:EN:HTML,"Aena S.M.E, S.A.",Madrid,28042,4,Airport-related activities,S,79710000.0,10865069.58,24.0,
6403,20186537,ted.europa.eu/udl?uri=TED:NOTICE:6537-2018:TEXT:EN:HTML,Gerencia del Área de Salud de Badajoz,Badajoz,06005,3,Health,U,33696800.0,1522863.85,,ES431
7287,20187107,ted.europa.eu/udl?uri=TED:NOTICE:7107-2018:TEXT:EN:HTML,"Dirección General de Línea Figueras Perpignan, S.A.",Llers,17730,8,General public\services,S,45112300.0,447217.23,,ES512
7291,20187111,ted.europa.eu/udl?uri=TED:NOTICE:7111-2018:TEXT:EN:HTML,Excmo. Cabildo Insular de Lanzarote,Arrecife de Lanzarote,35500,3,General public\services,S,71318000.0,220000.0,,ES708
7311,20187122,ted.europa.eu/udl?uri=TED:NOTICE:7122-2018:TEXT:EN:HTML,Excmo. Cabildo Insular de Lanzarote,Arrecife de Lanzarote,35500,3,General public\services,S,90910000.0,1401869.16,,ES708
7454,20187168,ted.europa.eu/udl?uri=TED:NOTICE:7168-2018:TEXT:EN:HTML,Fundación Turismo Palma de Mallorca 365,Palma,07002,8,Other,S,75125000.0,1804861.5,,ES532
7567,20187183,ted.europa.eu/udl?uri=TED:NOTICE:7183-2018:TEXT:EN:HTML,Ayuntamiento de Madrid - Junta Municipal de Distrito de Hortaleza,Madrid,28043,3,General public\services,S,79710000.0,1295232.75,,ES300
7573,20187187,ted.europa.eu/udl?uri=TED:NOTICE:7187-2018:TEXT:EN:HTML,Axencia para a Modernización Tecnolóxica de Galicia — Xunta de Galicia,Santiago de Compostela,15781,3,General public\services,S,72200000.0,3769834.71,,ES11
8024,20187998,ted.europa.eu/udl?uri=TED:NOTICE:7998-2018:TEXT:EN:HTML,Aena S.M.E S.A.,Madrid,28042,4,Airport-related activities,S,22000000.0,,,ES300
8031,20188109,ted.europa.eu/udl?uri=TED:NOTICE:8109-2018:TEXT:EN:HTML,"Ciudad Autónoma de Melilla, Consejería de Hacienda. Negociado de Contratación",Melilla,52001,3,"Economical anf Financial Affairs,Education,Environment,General public\services,Health,Housing and community amenities,Public Order and Safety,Recreation, culture and religion,Social protection",U,9111300.0,446640.0,,ES
8034,20188112,ted.europa.eu/udl?uri=TED:NOTICE:8112-2018:TEXT:EN:HTML,Ajuntament de l'Hospitalet,L'Hospitalet,08901,3,General public\services,U,30200000.0,330000.0,,ES511
8038,20188116,ted.europa.eu/udl?uri=TED:NOTICE:8116-2018:TEXT:EN:HTML,Ajuntament de l'Hospitalet,L'Hospitalet,08901,3,General public\services,U,30200000.0,504000.0,,ES511
8057,20188258,ted.europa.eu/udl?uri=TED:NOTICE:8258-2018:TEXT:EN:HTML,Ayuntamiento de Alcobendas,Alcobendas,28100,3,General public\services,S,79995000.0,,,
8066,20188267,ted.europa.eu/udl?uri=TED:NOTICE:8267-2018:TEXT:EN:HTML,Cscvitae S.A.,Barcelona,08022,8,Health,S,50421000.0,304500.0,36.0,
8067,20188268,ted.europa.eu/udl?uri=TED:NOTICE:8268-2018:TEXT:EN:HTML,Ajuntament de l'Hospitalet,L'Hospitalet,08901,3,General public\services,S,79341000.0,216000.0,24.0,ES511
8123,20188466,ted.europa.eu/udl?uri=TED:NOTICE:8466-2018:TEXT:EN:HTML,"Departamento de Vertebracion del Territorio, Movilidad y Vivienda",Zaragoza,50004,3,General public\services,W,45233120.0,5437549.82,,ES24
8292,20188699,ted.europa.eu/udl?uri=TED:NOTICE:8699-2018:TEXT:EN:HTML,"Mutua Universal Mugenat, Mutua Colaboradora con la Seguridad Social nº 10",Barcelona,08022,8,General public\services,U,30199770.0,6559620.0,,ES511
8294,20188701,ted.europa.eu/udl?uri=TED:NOTICE:8701-2018:TEXT:EN:HTML,Alcaldía del Ayuntamiento de Palencia,Palencia,34001,3,General public\services,U,34928500.0,360908.81,,ES414
8499,20188720,ted.europa.eu/udl?uri=TED:NOTICE:8720-2018:TEXT:EN:HTML,Dirección de Recursos Económicos del Servicio Gallego de Salud,Ferrol,15405,R,Health,U,33141000.0,5996910.57,,ES111
8540,20188730,ted.europa.eu/udl?uri=TED:NOTICE:8730-2018:TEXT:EN:HTML,Servicio Navarro de Salud — Osasunbidea,Pamplona,31002,R,Health,U,33600000.0,8382504.0,,ES22
8669,20188748,ted.europa.eu/udl?uri=TED:NOTICE:8748-2018:TEXT:EN:HTML,Dirección General del Instituto de Cinematografía y de las Artes Audiovisuales,Madrid,28004,1,Education,U,9123000.0,249691.2,,ES300
8678,20188756,ted.europa.eu/udl?uri=TED:NOTICE:8756-2018:TEXT:EN:HTML,Servicio Andaluz de Salud. Área Hospitalaria Virgen del Rocío,Sevilla,41013,3,Health,U,42416000.0,371900.83,,ES618
9130,20189253,ted.europa.eu/udl?uri=TED:NOTICE:9253-2018:TEXT:EN:HTML,"Consejería de Presidencia, Justicia y Portavocía del Gobierno",Madrid,28012,3,General public\services,S,79710000.0,9553057.71,,ES30
9154,20189260,ted.europa.eu/udl?uri=TED:NOTICE:9260-2018:TEXT:EN:HTML,Axencia para a Modernización Tecnolóxica de Galicia — Xunta de Galicia,Santiago de Compostela,15781,3,General public\services,S,72600000.0,1266074.37,,ES11
9174,20189277,ted.europa.eu/udl?uri=TED:NOTICE:9277-2018:TEXT:EN:HTML,"Consejería de Presidencia, Justicia y Portavocía del Gobierno",Madrid,28012,3,General public\services,S,60161000.0,860270.43,,ES30
9181,20189281,ted.europa.eu/udl?uri=TED:NOTICE:9281-2018:TEXT:EN:HTML,Diputación Provincial de Salamanca,Salamanca,37002,3,General public\services,S,66510000.0,878000.0,,ES415
9201,20189285,ted.europa.eu/udl?uri=TED:NOTICE:9285-2018:TEXT:EN:HTML,"Centro Atlántico de Arte Moderno, S.A.U.",Las Palmas de Gran Canaria,35001,8,Other,S,90911000.0,586584.0,,ES705
9207,20189291,ted.europa.eu/udl?uri=TED:NOTICE:9291-2018:TEXT:EN:HTML,Universidad de Cádiz,Cádiz,11001,6,Education,S,85141200.0,320000.0,,ES612
9247,20189314,ted.europa.eu/udl?uri=TED:NOTICE:9314-2018:TEXT:EN:HTML,"Dirección Gerencia de Unión de Mutuas, Mutua Colaboradora con la Seguridad Social n.º 267",Castellón,12004,8,General public\services,S,64200000.0,1513383.0,,ES522
9249,20189315,ted.europa.eu/udl?uri=TED:NOTICE:9315-2018:TEXT:EN:HTML,Diputación Provincial de Teruel,Teruel,44071,3,General public\services,S,64200000.0,334666.68,,ES242
9293,20189344,ted.europa.eu/udl?uri=TED:NOTICE:9344-2018:TEXT:EN:HTML,Servicio de Salud de las Illes Balears,Palma,07003,3,Health,S,50312000.0,1741721.84,,ES532
9305,20189348,ted.europa.eu/udl?uri=TED:NOTICE:9348-2018:TEXT:EN:HTML,Presidencia de la Diputación Provincial de Jaén,Jaén,23071,3,General public\services,S,66510000.0,672000.0,,ES616
9593,201810109,ted.europa.eu/udl?uri=TED:NOTICE:10109-2018:TEXT:EN:HTML,Administrador de Infraestructuras FERROVIARIAS,Madrid,28036,4,Railway services,U,31400000.0,1412724.4,,ES300
9671,201810338,ted.europa.eu/udl?uri=TED:NOTICE:10338-2018:TEXT:EN:HTML,"Centro Residencial para Personas Mayores «Los Olivares» de la Carolina dependiente de la Delegación Territorial de Igualdad, Salud y Políticas Sociales en Jaén",La Carolina,23200,R,Social protection,U,15000000.0,,,
9675,201810342,ted.europa.eu/udl?uri=TED:NOTICE:10342-2018:TEXT:EN:HTML,"Centro Residencial para Personas Mayores de Úbeda - Delegación Territorial de Igualdad, Salud y Políticas Sociales en Jaén",Úbeda,23400,R,Social protection,U,15000000.0,,,
9686,201810443,ted.europa.eu/udl?uri=TED:NOTICE:10443-2018:TEXT:EN:HTML,"Corporació Catalana de Mitjans Audiovisuals, S. A.",Barcelona,08017,6,Other,S,66518100.0,260000.0,48.0,ES511
9690,201810446,ted.europa.eu/udl?uri=TED:NOTICE:10446-2018:TEXT:EN:HTML,Consejería de Servicios y Derechos Sociales,Oviedo,33005,3,"Housing and community amenities,Social protection",S,85311300.0,1752000.0,24.0,ES12
9691,201810447,ted.europa.eu/udl?uri=TED:NOTICE:10447-2018:TEXT:EN:HTML,Excmo. Ayuntamiento de Elda,Elda,03600,3,General public\services,S,50000000.0,5466706.14,36.0,ES521
9692,201810448,ted.europa.eu/udl?uri=TED:NOTICE:10448-2018:TEXT:EN:HTML,"Parque Científico y Tecnológico de Gipuzkoa, S.A.",San Sebastián,20009,8,Other,S,71245000.0,300000.0,,ES212
9695,201810451,ted.europa.eu/udl?uri=TED:NOTICE:10451-2018:TEXT:EN:HTML,Consejería de Servicios y Derechos Sociales,Oviedo,33005,3,"Housing and community amenities,Social protection",S,85311000.0,898497.6,24.0,ES12
9697,201810453,ted.europa.eu/udl?uri=TED:NOTICE:10453-2018:TEXT:EN:HTML,Ayuntamiento de Sant Cugat del Vallès,Sant Cugat del Vallès,08172,3,"General public\services,Other",S,85200000.0,389355.36,36.0,ES511
9699,201810455,ted.europa.eu/udl?uri=TED:NOTICE:10455-2018:TEXT:EN:HTML,"Generalitat de Catalunya, Agencia Catalana del Agua del Departamento de Territorio y Sostenibilidad",Barcelona,08036,6,Environment,S,90481000.0,6340663.26,48.03,ES511
9700,201810456,ted.europa.eu/udl?uri=TED:NOTICE:10456-2018:TEXT:EN:HTML,Delegado del Gobierno de la Junta de Andalucía en Málaga,Málaga,29007,R,Not specified,S,90911200.0,1193355.37,18.0,ES617
9714,201810532,ted.europa.eu/udl?uri=TED:NOTICE:10532-2018:TEXT:EN:HTML,"Empresa Metropolitana de Abastecimiento y Saneamiento de Aguas de Sevilla, S.A. (EMASESA)",Sevilla,41003,4,Water,W,45214610.0,6398137.41,8.75,ES618
9716,201810538,ted.europa.eu/udl?uri=TED:NOTICE:10538-2018:TEXT:EN:HTML,"Canal de Isabel II, S.A.",Madrid,28003,4,Water,U,24413000.0,,48.0,ES30
9717,201810539,ted.europa.eu/udl?uri=TED:NOTICE:10539-2018:TEXT:EN:HTML,"Canal de Isabel II, S.A.",Madrid,28003,4,Water,U,39293400.0,,1.22,ES
9804,201810663,ted.europa.eu/udl?uri=TED:NOTICE:10663-2018:TEXT:EN:HTML,"Ayuntamiento de Madrid, Área de Gobierno de Desarrollo Urbano Sostenible",Madrid,28042,3,General public\services,W,45112710.0,5850117.9,,ES300
10051,201810935,ted.europa.eu/udl?uri=TED:NOTICE:10935-2018:TEXT:EN:HTML,Dirección Gerencia del Servicio de Salud de Castilla-La Mancha,Toledo,45071,3,General public\services,U,24931260.0,929652.9,,ES425
10057,201810939,ted.europa.eu/udl?uri=TED:NOTICE:10939-2018:TEXT:EN:HTML,Diputación Provincial de Valladolid,Valladolid,47071,3,General public\services,U,15000000.0,314316.61,,ES418
10085,201810946,ted.europa.eu/udl?uri=TED:NOTICE:10946-2018:TEXT:EN:HTML,Gerencia Calviá 2000,Santa Ponça,07180,8,Economical anf Financial Affairs,U,34144511.0,2250000.0,,ES53
10132,201810958,ted.europa.eu/udl?uri=TED:NOTICE:10958-2018:TEXT:EN:HTML,Servicio de Salud del Principado de Asturias,Oviedo,33001,6,Health,U,33141110.0,,,ES
10301,201810973,ted.europa.eu/udl?uri=TED:NOTICE:10973-2018:TEXT:EN:HTML,Diputación Provincial de Sevilla,Sevilla,41071,3,General public\services,U,31156000.0,3294733.59,,ES618
10423,201810990,ted.europa.eu/udl?uri=TED:NOTICE:10990-2018:TEXT:EN:HTML,Comité Ejecutivo de la Mancomunidad de los Canales del Taibilla,Cartagena,30201,1,Environment,U,24311900.0,1970000.0,,ES620
10424,201810991,ted.europa.eu/udl?uri=TED:NOTICE:10991-2018:TEXT:EN:HTML,Comité Ejecutivo de la Mancomunidad de los Canales del Taibilla,Cartagena,30201,1,Environment,U,24312210.0,1400000.0,,ES620
10447,201810996,ted.europa.eu/udl?uri=TED:NOTICE:10996-2018:TEXT:EN:HTML,Comité Ejecutivo de la Mancomunidad de los Canales del Taibilla,Cartagena,30201,1,Environment,U,24315610.0,1682100.0,,ES620
10449,201810998,ted.europa.eu/udl?uri=TED:NOTICE:10998-2018:TEXT:EN:HTML,Junta Central de Compras,Madrid,28014,3,Economical anf Financial Affairs,U,9123000.0,33273420.72,,ES300
10464,201810999,ted.europa.eu/udl?uri=TED:NOTICE:10999-2018:TEXT:EN:HTML,Junta de Contratación del Ministerio de Empleo y Seguridad Social,Madrid,28071,1,General public\services,U,30200000.0,355960.0,,ES300
10695,201811460,ted.europa.eu/udl?uri=TED:NOTICE:11460-2018:TEXT:EN:HTML,"Consejería de Medio Ambiente y Rural, Políticas Agrarias y Territorio",Mérida,06800,3,General public\services,S,60420000.0,3770712.0,,ES431
10711,201811473,ted.europa.eu/udl?uri=TED:NOTICE:11473-2018:TEXT:EN:HTML,"Diputación de Barcelona, Institut del Teatre",Barcelona,08036,3,General public\services,S,79714000.0,904562.91,,ES511
10720,201811476,ted.europa.eu/udl?uri=TED:NOTICE:11476-2018:TEXT:EN:HTML,"Ayuntamiento de Madrid, Área de Gobierno de Desarrollo Urbano Sostenible",Madrid,28042,3,General public\services,S,71318000.0,245137.2,,ES300
10731,201811480,ted.europa.eu/udl?uri=TED:NOTICE:11480-2018:TEXT:EN:HTML,Ayuntamiento de Madrid. Área de Gobierno de Desarrollo Urbano Sostenible,Madrid,28042,3,General public\services,S,71330000.0,1531330.0,,ES300
10733,201811482,ted.europa.eu/udl?uri=TED:NOTICE:11482-2018:TEXT:EN:HTML,"Consellería de Economía, Empleo e Industria",Santiago de Compostela,15781,8,General public\services,S,90911200.0,596014.96,,ES11
10745,201811486,ted.europa.eu/udl?uri=TED:NOTICE:11486-2018:TEXT:EN:HTML,División Económica y Técnica - Cuerpo Nacional de Policía,Madrid,28043,1,Public Order and Safety,S,72100000.0,651636.36,,ES300
10757,201811491,ted.europa.eu/udl?uri=TED:NOTICE:11491-2018:TEXT:EN:HTML,"Diputación de Barcelona, Institut del Teatre",Barcelona,08036,3,General public\services,S,71326000.0,481937.72,,ES511
10810,201811513,ted.europa.eu/udl?uri=TED:NOTICE:11513-2018:TEXT:EN:HTML,Instituto Murciano de Acción Social,Murcia,30007,R,Social protection,S,85312100.0,,,ES620
10813,201811516,ted.europa.eu/udl?uri=TED:NOTICE:11516-2018:TEXT:EN:HTML,Sociedad Andaluza para el Desarrollo de las Telecomunicaciones S.A.,Sevilla,41092,8,Other,S,72000000.0,2430413.33,,ES61
10817,201811518,ted.europa.eu/udl?uri=TED:NOTICE:11518-2018:TEXT:EN:HTML,Diputación Provincial de Guadalajara,Guadalajara,19071,3,General public\services,S,90910000.0,889800.0,,ES424
10818,201811519,ted.europa.eu/udl?uri=TED:NOTICE:11519-2018:TEXT:EN:HTML,Osakidetza — O.S.Integrada Bidasoa,Hondarribia,20280,8,Health,S,98310000.0,1877234.04,,ES21
10843,201811533,ted.europa.eu/udl?uri=TED:NOTICE:11533-2018:TEXT:EN:HTML,Junta de Gobierno del Ayuntamiento de Valencia,Valencia,46002,3,General public\services,S,71000000.0,263881.19,,ES523
10866,201811538,ted.europa.eu/udl?uri=TED:NOTICE:11538-2018:TEXT:EN:HTML,Axencia para a Modernización Tecnolóxica de Galicia - Xunta de Galicia,Santiago de Compostela,15781,3,General public\services,S,72250000.0,939359.49,,ES11
10878,201811544,ted.europa.eu/udl?uri=TED:NOTICE:11544-2018:TEXT:EN:HTML,Junta de Gobierno del Ayuntamiento de Palma de Mallorca,Palma de Mallorca,07001,3,General public\services,S,66512200.0,8826048.0,,ES53
10886,201811552,ted.europa.eu/udl?uri=TED:NOTICE:11552-2018:TEXT:EN:HTML,Ayuntamiento de Miranda de Ebro,Miranda de Ebro,09200,3,General public\services,S,90610000.0,17945454.54,,ES412
10897,201811558,ted.europa.eu/udl?uri=TED:NOTICE:11558-2018:TEXT:EN:HTML,"Servicio Provincial de Zaragoza del Departamento Educación, Cultura y Deporte",Zaragoza,50017,R,Education,S,60130000.0,15095743.6,21.97,ES243
11001,201811567,ted.europa.eu/udl?uri=TED:NOTICE:11567-2018:TEXT:EN:HTML,Ayuntamiento de Barcelona,Barcelona,08018,3,General public\services,S,71351810.0,368454.77,,ES511
11002,201811568,ted.europa.eu/udl?uri=TED:NOTICE:11568-2018:TEXT:EN:HTML,Comité Ejecutivo de la Mancomunidad de los Canales del Taibilla,Cartagena,30201,1,Environment,S,50711000.0,896748.94,,ES620
11019,201811577,ted.europa.eu/udl?uri=TED:NOTICE:11577-2018:TEXT:EN:HTML,Ayuntamiento de Barakaldo,Barakaldo,48901,3,General public\services,S,90000000.0,4598296.1,,ES213
11025,201811582,ted.europa.eu/udl?uri=TED:NOTICE:11582-2018:TEXT:EN:HTML,"Servicio Provincial de Zaragoza del Departamento Educación, Cultura y Deporte",Zaragoza,50017,R,Education,S,60130000.0,17072811.67,,ES243
11136,201811583,ted.europa.eu/udl?uri=TED:NOTICE:11583-2018:TEXT:EN:HTML,Junta de Contratación del Ministerio de Defensa,Madrid,28046,1,Defence,S,98341120.0,16352000.0,,ES300
11305,201812200,ted.europa.eu/udl?uri=TED:NOTICE:12200-2018:TEXT:EN:HTML,Dirección General de Recursos Humanos y Económicos de la Consellería de Sanidad y Salud Pública,Valencia,46010,3,Health,S,79710000.0,1590195.63,,ES523
11315,201812217,ted.europa.eu/udl?uri=TED:NOTICE:12217-2018:TEXT:EN:HTML,Junta de Contratación del Ministerio de Defensa,Madrid,28046,1,Defence,S,79710000.0,19963000.0,,ES300
11507,201812428,ted.europa.eu/udl?uri=TED:NOTICE:12428-2018:TEXT:EN:HTML,Ayuntamiento de Muro,Muro,07440,3,General public\services,S,90511100.0,,,ES532
11517,201812514,ted.europa.eu/udl?uri=TED:NOTICE:12514-2018:TEXT:EN:HTML,Ayuntamiento de Santander,Santander,39002,3,General public\services,U,34142100.0,590909.1,8.0,
11519,201812516,ted.europa.eu/udl?uri=TED:NOTICE:12516-2018:TEXT:EN:HTML,Consellería de Política Social — Xunta de Galicia,Santiago de Compostela,15781,R,Other,U,3000000.0,3930488.14,12.0,ES111
11524,201812521,ted.europa.eu/udl?uri=TED:NOTICE:12521-2018:TEXT:EN:HTML,Ayuntamiento de Laredo,Laredo,39770,3,General public\services,U,9310000.0,1029748.3,24.0,
11525,201812522,ted.europa.eu/udl?uri=TED:NOTICE:12522-2018:TEXT:EN:HTML,"Euskal Telebista, S.A.U.",Bilbao (Bizkaia),48013,8,Other,U,32000000.0,,,
11548,201812638,ted.europa.eu/udl?uri=TED:NOTICE:12638-2018:TEXT:EN:HTML,Junta de Extremadura. Consejería de Sanidad y Políticas Sociales,Mérida,06800,3,"Health,Social protection",S,72267000.0,416528.92,12.0,ES43
11555,201812697,ted.europa.eu/udl?uri=TED:NOTICE:12697-2018:TEXT:EN:HTML,"Canal de Isabel II, S.A.",Madrid,28003,4,Water,W,44160000.0,,48.0,ES3
11556,201812698,ted.europa.eu/udl?uri=TED:NOTICE:12698-2018:TEXT:EN:HTML,"Canal de Isabel II, S. A.",Madrid,28003,4,Water,W,45231110.0,,30.0,ES3
11565,201812730,ted.europa.eu/udl?uri=TED:NOTICE:12730-2018:TEXT:EN:HTML,"Empresa Metropolitana de Abastecimiento y Saneamiento de Aguas de Sevilla, S.A. (Emasesa)",Sevilla,41003,4,Water,S,90481000.0,32351591.42,48.0,ES618
11683,201812879,ted.europa.eu/udl?uri=TED:NOTICE:12879-2018:TEXT:EN:HTML,Dirección General de Carreteras,Madrid,28071,1,General public\services,W,45233000.0,5872850.82,,ES300
